Name,Health,Hunger,Sanity,Special_Ability,Unlock_Condition
Wilson,150,150,200,Grows a magnificent beard,Available from start
Willow,150,150,120,Immune to fire damage; has Bernie the bear,Available from start
Wolfgang,200,300,200,Gets stronger with a full belly,Available from start
Wendy,150,150,200,Summons her twin sister Abigail,Available from start
WX-78,125,125,150,Can upgrade with circuits; eats spoiled food,Available from start
Wickerbottom,150,150,250,Can craft and read magical books,Available from start
Woodie,150,150,200,Transforms into Werebeaver/Weremoose/Weregoose,Available from start
Wes,113,113,75,Fragile and silent; uses balloons,Available from start
Maxwell,75,150,200,Can summon shadow puppets,Available from start
Wigfrid,200,120,120,Only eats meat; gains stats from combat,Available from start
Webber,175,175,100,Can befriend spiders; grows silk beard,Available from start
Winona,150,150,200,Expert builder; can craft catapults,Available from start
Warly,150,250,200,Expert chef with portable crock pot,Available from start
Wortox,200,175,150,Can teleport using souls,DLC / Spools
Wurmwood,150,150,200,Can plant seeds directly; heals with compost,DLC / Spools
Wurt,150,200,200,Can craft Merm houses and befriended Merms,DLC / Spools
Walter,130,110,200,Has a slingshot and Woby the dog,Available from start
Wanda,150,150,0,Uses clock pieces to manipulate age,DLC / Spools
